"","TC3","TW3","TC15","TW15","RC3","RW3","RC15","RW15"
"ENSMUSG00000000001",31.7904374364191,28.261361067149,25.5141093024443,0,278.559753834347,306.34957700193,268.635597142356,320.427065192489
"ENSMUSG00000000028",31.7904374364191,0,0,0,11.0685994901065,8.56921893711693,13.2987919377404,22.4298945634742
"ENSMUSG00000000037",0,28.261361067149,0,0,3.68953316336884,5.35576183569808,2.65975838754808,3.20427065192489
"ENSMUSG00000000056",0,56.522722134298,0,0,25.8267321435819,33.2057233813281,29.2573422630288,49.6661951048357
"ENSMUSG00000000058",0,0,0,0,66.4115969406391,95.3325606754258,43.8860133945432,126.568690751033
"ENSMUSG00000000078",31.7904374364191,28.261361067149,0,39.4742036079422,86.7040293391677,63.1979896612374,143.626952927596,126.568690751033
"ENSMUSG00000000085",0,0,0,0,3.68953316336884,10.7115236713962,3.98963758132211,12.8170826076995
"ENSMUSG00000000088",31.7904374364191,56.522722134298,25.5141093024443,0,103.306928574327,131.751741158173,99.7409395330528,139.385773358733
"ENSMUSG00000000125",0,0,0,0,55.3429974505326,83.5498846368901,50.5354093634134,68.891819016385
"ENSMUSG00000000127",0,0,51.0282186048885,0,49.8086977054793,73.9095133326335,26.5975838754808,57.6768717346479
"ENSMUSG00000000131",0,28.261361067149,51.0282186048885,0,27.6714987252663,27.84996154563,39.8963758132211,54.4726010827231
"ENSMUSG00000000134",63.5808748728383,28.261361067149,25.5141093024443,0,53.4982308688482,40.7037899513054,45.2158925883173,48.0640597788733
"ENSMUSG00000000142",0,113.045444268596,25.5141093024443,39.4742036079422,64.5668303589547,78.194122801192,39.8963758132211,41.6555184750235
"ENSMUSG00000000148",0,28.261361067149,25.5141093024443,39.4742036079422,23.9819655618975,17.1384378742339,17.2884295190625,38.4512478230986
"ENSMUSG00000000149",31.7904374364191,0,25.5141093024443,0,5.53429974505326,11.7826760385358,13.2987919377404,6.40854130384977
"ENSMUSG00000000154",0,0,0,0,12.9133660717909,9.64037130425655,14.6286711315144,14.419217933662
"ENSMUSG00000000168",31.7904374364191,0,0,0,53.4982308688482,106.044084346822,59.8445637198317,88.1174429279343
"ENSMUSG00000000171",0,28.261361067149,25.5141093024443,0,36.8953316336884,50.344161255562,53.1951677509615,104.138796187559
"ENSMUSG00000000184",0,56.522722134298,0,0,295.162653069507,469.164736807152,360.397261512764,519.091845611831
"ENSMUSG00000000194",1208.03662258393,1130.45444268596,1377.76190233199,394.742036079422,156.805159443176,122.111369853916,136.977556958726,144.19217933662
"ENSMUSG00000000216",0,0,0,0,11.0685994901065,7.49806656997731,27.9274630692548,6.40854130384977
"ENSMUSG00000000247",31.7904374364191,0,25.5141093024443,39.4742036079422,31.3610318886351,33.2057233813281,22.6079462941586,56.0747364086855
"ENSMUSG00000000248",0,56.522722134298,0,39.4742036079422,25.8267321435819,6.4269142028377,45.2158925883173,20.8277592375118
"ENSMUSG00000000253",0,0,0,39.4742036079422,3.68953316336884,5.35576183569808,1.32987919377404,3.20427065192489
"ENSMUSG00000000266",0,0,0,0,27.6714987252663,42.8460946855846,31.9171006505769,27.2363005413615
"ENSMUSG00000000275",31.7904374364191,28.261361067149,0,0,60.8772971955858,64.269142028377,59.8445637198317,36.8491124971362
"ENSMUSG00000000276",0,56.522722134298,0,0,7.37906632673768,24.6365044442112,21.2780671003846,14.419217933662
"ENSMUSG00000000278",0,56.522722134298,25.5141093024443,39.4742036079422,243.509188782343,108.186389081101,269.96547633613,205.073321723193
"ENSMUSG00000000282",0,28.261361067149,0,0,20.2924323985286,53.5576183569808,23.9378254879327,44.8597891269484
"ENSMUSG00000000290",0,0,0,0,12.9133660717909,6.4269142028377,3.98963758132211,8.01067662981221
"ENSMUSG00000000295",222.533062054934,197.829527470043,25.5141093024443,236.845221647653,33.2057984703196,31.0634186470489,37.2366174256731,16.0213532596244
"ENSMUSG00000000303",0,56.522722134298,25.5141093024443,39.4742036079422,3351.94087892059,3106.34186470489,2911.10555517137,2449.66491339657
"ENSMUSG00000000308",0,0,0,0,348.660883938355,437.030165792963,383.005207806923,381.308207579061
"ENSMUSG00000000320",0,0,25.5141093024443,0,97.7726288292742,83.5498846368901,70.483597270024,46.4619244529108
"ENSMUSG00000000325",1684.89318413021,1808.72710829754,2627.95325815176,631.587257727075,35.050565052004,37.4903328498866,43.8860133945432,25.6341652153991
"ENSMUSG00000000326",0,56.522722134298,51.0282186048885,0,31.3610318886351,29.9922662799093,34.576859038125,35.2469771711737
"ENSMUSG00000000339",31.7904374364191,28.261361067149,0,0,23.9819655618975,20.3518949756527,19.9481879066106,33.6448418452113
"ENSMUSG00000000340",0,56.522722134298,0,0,31.3610318886351,27.84996154563,22.6079462941586,56.0747364086855
"ENSMUSG00000000346",254.323499491353,84.784083201447,153.084655814665,39.4742036079422,84.8592627574833,109.257541448241,78.4628724326682,140.987908684695
"ENSMUSG00000000355",0,0,0,0,38.7400982153728,58.9133801926789,43.8860133945432,57.6768717346479
"ENSMUSG00000000374",31.7904374364191,0,0,39.4742036079422,46.1191645421105,56.7710754583997,22.6079462941586,46.4619244529108
"ENSMUSG00000000384",0,0,0,0,38.7400982153728,67.4825991297958,22.6079462941586,41.6555184750235
"ENSMUSG00000000399",31.7904374364191,28.261361067149,76.5423279073327,39.4742036079422,142.0470267897,157.459397969524,107.720214695697,132.977232054883
"ENSMUSG00000000402",0,0,0,0,14.7581326534754,22.4941997099319,10.6390335501923,20.8277592375118
"ENSMUSG00000000416",31.7904374364191,0,0,0,38.7400982153728,48.2018565212827,59.8445637198317,27.2363005413615
"ENSMUSG00000000420",0,56.522722134298,25.5141093024443,0,60.8772971955858,54.6287707241204,38.5664966194471,52.8704657567606
"ENSMUSG00000000439",731.18006103764,1215.23852588741,841.96560698066,1223.70031184621,11.0685994901065,21.4230473427923,11.9689127439663,12.8170826076995
"ENSMUSG00000000440",31.7904374364191,0,0,0,3.68953316336884,7.49806656997731,9.30915435641826,19.2256239115493
"ENSMUSG00000000441",190.742624618515,141.306805335745,331.683420931775,197.371018039711,106.996461737696,76.0518180669127,49.2055301696394,83.311036950047
"ENSMUSG00000000489",127.161749745677,28.261361067149,127.570546512221,0,3.68953316336884,14.9961331399546,19.9481879066106,22.4298945634742
"ENSMUSG00000000530",0,0,0,0,11.0685994901065,11.7826760385358,5.31951677509615,6.40854130384977
"ENSMUSG00000000531",0,56.522722134298,51.0282186048885,0,9.2238329084221,31.0634186470489,18.6183087128365,40.0533831490611
"ENSMUSG00000000532",31.7904374364191,113.045444268596,25.5141093024443,0,149.426093116438,158.530550336663,106.390335501923,179.439156507794
"ENSMUSG00000000538",0,0,0,0,59.0325306139014,44.9883994198639,59.8445637198317,84.9131722760095
"ENSMUSG00000000552",0,0,0,0,134.667960462963,149.961331399546,138.3074361525,213.083998353005
"ENSMUSG00000000555",31.7904374364191,28.261361067149,0,0,27.6714987252663,34.2768757484677,30.5872214568029,35.2469771711737
"ENSMUSG00000000561",0,0,0,0,49.8086977054793,58.9133801926789,41.2262550069952,56.0747364086855
"ENSMUSG00000000563",95.3713123092574,197.829527470043,153.084655814665,197.371018039711,44.2743979604261,95.3325606754258,59.8445637198317,112.149472817371
"ENSMUSG00000000567",0,0,51.0282186048885,39.4742036079422,158.64992602486,222.79969236504,208.791033422524,198.664780419343
"ENSMUSG00000000568",63.5808748728383,28.261361067149,51.0282186048885,118.422610823827,284.094053579401,381.330242701703,172.884295190625,248.330975524179
"ENSMUSG00000000581",0,28.261361067149,0,0,18.4476658168442,27.84996154563,13.2987919377404,24.0320298894366
"ENSMUSG00000000594",0,28.261361067149,0,0,136.512727044647,84.6210370040297,187.512966322139,145.794314662582
"ENSMUSG00000000600",31.7904374364191,28.261361067149,51.0282186048885,39.4742036079422,18.4476658168442,26.7788091784904,21.2780671003846,25.6341652153991
"ENSMUSG00000000605",0,0,0,0,49.8086977054793,46.0595517870035,99.7409395330528,89.7195782538968
"ENSMUSG00000000628",63.5808748728383,169.568166402894,25.5141093024443,118.422610823827,164.184225769913,114.613303283939,182.193449547043,136.181502706808
"ENSMUSG00000000631",190.742624618515,141.306805335745,255.141093024443,197.371018039711,188.166191331811,166.028616906641,211.450791810072,161.815667922207
"ENSMUSG00000000682",31.7904374364191,226.090888537192,153.084655814665,118.422610823827,16.6028992351598,11.7826760385358,14.6286711315144,27.2363005413615
"ENSMUSG00000000686",95.3713123092574,0,51.0282186048885,157.896814431769,3.68953316336884,2.14230473427923,3.98963758132211,14.419217933662
"ENSMUSG00000000693",63.5808748728383,28.261361067149,25.5141093024443,0,3.68953316336884,1.07115236713962,2.65975838754808,3.20427065192489
"ENSMUSG00000000708",31.7904374364191,28.261361067149,0,0,7.37906632673768,3.21345710141885,6.64939596887019,4.80640597788733
"ENSMUSG00000000711",0,0,0,0,14.7581326534754,3.21345710141885,10.6390335501923,14.419217933662
"ENSMUSG00000000732",0,0,0,0,9.2238329084221,6.4269142028377,2.65975838754808,6.40854130384977
"ENSMUSG00000000738",31.7904374364191,56.522722134298,0,78.9484072158844,29.5162653069507,26.7788091784904,33.2469798443509,43.2576538009859
"ENSMUSG00000000739",0,0,0,0,14.7581326534754,34.2768757484677,9.30915435641826,30.4405711932864
"ENSMUSG00000000743",0,0,0,78.9484072158844,31.3610318886351,33.2057233813281,39.8963758132211,35.2469771711737
"ENSMUSG00000000751",31.7904374364191,28.261361067149,76.5423279073327,0,81.1697295941145,108.186389081101,94.4214227579567,113.751608143333
"ENSMUSG00000000753",0,0,0,0,3.68953316336884,22.4941997099319,6.64939596887019,1.60213532596244
"ENSMUSG00000000759",31.7904374364191,0,0,0,33.2057984703196,26.7788091784904,30.5872214568029,38.4512478230986
"ENSMUSG00000000776",0,28.261361067149,0,0,16.6028992351598,12.8538284056754,21.2780671003846,20.8277592375118
"ENSMUSG00000000782",0,113.045444268596,25.5141093024443,39.4742036079422,5.53429974505326,14.9961331399546,7.97927516264422,8.01067662981221
"ENSMUSG00000000787",222.533062054934,169.568166402894,76.5423279073327,0,662.271202824707,883.700702890183,490.72542250262,533.511063545493
"ENSMUSG00000000804",127.161749745677,0,25.5141093024443,78.9484072158844,38.7400982153728,25.7076568113508,19.9481879066106,24.0320298894366
"ENSMUSG00000000811",0,56.522722134298,0,0,68.2563635223235,47.1307041541431,42.5561342007692,24.0320298894366
"ENSMUSG00000000823",95.3713123092574,84.784083201447,76.5423279073327,39.4742036079422,5.53429974505326,12.8538284056754,11.9689127439663,12.8170826076995
"ENSMUSG00000000826",0,28.261361067149,25.5141093024443,0,47.9639311237949,86.7633417383089,54.5250469447355,60.8811423865728
"ENSMUSG00000000827",31.7904374364191,84.784083201447,0,0,105.151695156012,83.5498846368901,57.1848053322836,73.6982249942724
"ENSMUSG00000000838",0,28.261361067149,0,0,29.5162653069507,58.9133801926789,21.2780671003846,56.0747364086855
"ENSMUSG00000000861",0,0,0,0,46.1191645421105,65.3402943955166,73.1433556575721,148.998585314507
"ENSMUSG00000000876",0,0,0,0,77.4801964307456,64.269142028377,81.1226308202163,76.9024956461973
"ENSMUSG00000000881",31.7904374364191,56.522722134298,25.5141093024443,0,38.7400982153728,28.9211139127696,41.2262550069952,14.419217933662
"ENSMUSG00000000884",0,0,0,0,5.53429974505326,1.07115236713962,3.98963758132211,3.20427065192489
"ENSMUSG00000000902",31.7904374364191,84.784083201447,0,39.4742036079422,64.5668303589547,131.751741158173,102.400697920601,153.804991292395
"ENSMUSG00000000915",317.904374364191,226.090888537192,204.112874419554,236.845221647653,171.563292096651,164.957464539501,178.203811965721,136.181502706808
"ENSMUSG00000000916",158.952187182096,197.829527470043,204.112874419554,197.371018039711,14.7581326534754,14.9961331399546,15.9585503252884,27.2363005413615
"ENSMUSG00000000934",0,28.261361067149,0,0,11.0685994901065,11.7826760385358,11.9689127439663,4.80640597788733
"ENSMUSG00000000957",63.5808748728383,84.784083201447,178.59876511711,39.4742036079422,265.646387762556,325.630319610443,246.027650848197,389.318884208874
"ENSMUSG00000000958",31.7904374364191,0,25.5141093024443,118.422610823827,3.68953316336884,1.07115236713962,2.65975838754808,4.80640597788733
"ENSMUSG00000000959",31.7904374364191,56.522722134298,51.0282186048885,0,62.7220637772703,79.2652751683316,71.813476463798,86.5153076019719
"ENSMUSG00000000976",31.7904374364191,0,51.0282186048885,0,42.4296313787416,18.2095902413735,37.2366174256731,57.6768717346479
"ENSMUSG00000001016",63.5808748728383,169.568166402894,76.5423279073327,0,101.462161992643,140.32096009529,105.060456308149,185.847697811643
"ENSMUSG00000001017",31.7904374364191,0,25.5141093024443,0,35.050565052004,49.2730088884223,39.8963758132211,49.6661951048357
"ENSMUSG00000001018",127.161749745677,28.261361067149,102.056437209777,197.371018039711,20.2924323985286,10.7115236713962,7.97927516264422,3.20427065192489
"ENSMUSG00000001020",0,0,0,0,22.137198980213,9.64037130425655,6.64939596887019,24.0320298894366
"ENSMUSG00000001025",0,0,0,0,81.1697295941145,132.822893525312,134.317798571178,259.545922805916
"ENSMUSG00000001034",0,0,25.5141093024443,0,7.37906632673768,6.4269142028377,10.6390335501923,8.01067662981221
"ENSMUSG00000001036",0,0,0,0,62.7220637772703,62.1268372940977,42.5561342007692,48.0640597788733
"ENSMUSG00000001039",63.5808748728383,0,0,0,1.84476658168442,2.14230473427923,5.31951677509615,6.40854130384977
"ENSMUSG00000001052",0,28.261361067149,0,39.4742036079422,125.444127554541,123.182522221056,122.348885827211,121.762284773146
"ENSMUSG00000001053",63.5808748728383,28.261361067149,0,0,20.2924323985286,12.8538284056754,26.5975838754808,27.2363005413615
"ENSMUSG00000001054",127.161749745677,226.090888537192,102.056437209777,78.9484072158844,33.2057984703196,29.9922662799093,27.9274630692548,17.6234885855869
"ENSMUSG00000001056",63.5808748728383,56.522722134298,153.084655814665,39.4742036079422,83.0144961757989,68.5537514969354,78.4628724326682,51.2683304307982
"ENSMUSG00000001062",31.7904374364191,0,51.0282186048885,39.4742036079422,9.2238329084221,6.4269142028377,2.65975838754808,4.80640597788733
"ENSMUSG00000001065",0,84.784083201447,25.5141093024443,39.4742036079422,9.2238329084221,3.21345710141885,6.64939596887019,16.0213532596244
"ENSMUSG00000001082",0,28.261361067149,0,0,88.5487959208521,98.5460177768447,115.699489858341,112.149472817371
