	7-111-R.toTranscriptome.sort	7-7-R.toTranscriptome.sort
ENSMUST00000000001	-0.23285392646949102	0.006506869868410592
ENSMUST00000000028	0.21899399647629525	-0.19287755352155378
ENSMUST00000000058	-0.09208791208791209	0.17667523965396306
ENSMUST00000000080	0.4067509617817453	0.3599133261105093
ENSMUST00000000090	-0.15489612685874368	0.008422563978119524
ENSMUST00000000129		-0.3803797594989896
ENSMUST00000000137	-0.1067397080989903	0.1651557514080017
ENSMUST00000000175	0.04156879493202359	0.2302156737134316
ENSMUST00000000188	-0.11923501599614963	-0.05590205460174502
ENSMUST00000000193	-0.19737561509021317	0.03775295428906028
ENSMUST00000000266	0.4484876765142359	-0.16317495540181876
ENSMUST00000000287	0.029252946972738225	-0.17331083133628108
ENSMUST00000000304	-0.3055990674292376	-0.0514984949613925
ENSMUST00000000348		0.34722153712929615
ENSMUST00000000356	0.8578028345470207	0.34073291050035237
ENSMUST00000000365		0.1806315104166667
ENSMUST00000000384		0.4466502885586931
ENSMUST00000000449	0.1758422350041084	
ENSMUST00000000451	-0.0745296504124088	0.08829141549007435
ENSMUST00000000466	-0.009740873841497993	-0.024906613740563854
ENSMUST00000000505	-0.058294523226058687	0.03462686958545433
ENSMUST00000000590	0.0769017093477509	0.03263796400504351
ENSMUST00000000594		-0.16465173025732036
ENSMUST00000000608		0.16833941605839417
ENSMUST00000000759		-0.2148090640011645
ENSMUST00000000769	0.13708177547694375	0.08591230174596826
ENSMUST00000000776	-0.014843317765627112	0.17847954774413244
ENSMUST00000000804	0.04654790251932861	-0.09932729755702802
ENSMUST00000000924		-0.0055468176575442785
ENSMUST00000000925		0.16189699485962833
ENSMUST00000000939	0.7397076292758613	
ENSMUST00000000940		-0.1842355552032971
ENSMUST00000000985		-0.04690262418969049
ENSMUST00000001002	0.3819937517750639	0.03255947781805735
ENSMUST00000001042	0.12509218612818263	-0.012536422745607012
ENSMUST00000001046	0.11092131364337668	0.13314256583583287
ENSMUST00000001047		-0.13671340629274967
ENSMUST00000001051	0.1254503177640257	0.1617376872963437
ENSMUST00000001079	0.40189087529227235	0.15930479108877818
ENSMUST00000001109	-0.6432952238487017	
ENSMUST00000001115		0.35294780605089165
ENSMUST00000001127	-0.16131212682936816	0.01078930389275215
ENSMUST00000001147	0.1637227395131082	-0.0039102866693032645
ENSMUST00000001179		0.23577301059232925
ENSMUST00000001226		0.19814356522409718
ENSMUST00000001240		0.26419372180538997
ENSMUST00000001242		0.22626187371950082
ENSMUST00000001258	-0.4874186180213496	-0.12852744424822918
ENSMUST00000001319	-0.29899692937563976	-0.14879665460675764
ENSMUST00000001326	0.13005667383232367	-0.002466072240503714
ENSMUST00000001339	-0.1575181796856674	0.4219111289836131
ENSMUST00000001416	0.08797168034947656	-0.0619297059817506
ENSMUST00000001419	-0.0020939667582777766	-0.4272012692002596
ENSMUST00000001439	0.08390364821900081	0.14240310761896352
ENSMUST00000001451	-0.01614588191400057	0.3577339699163201
ENSMUST00000001452	0.10568568319283872	-0.0589147051071508
ENSMUST00000001455	0.315994073041053	-0.3402168301497161
ENSMUST00000001479	0.08291618534206133	0.12265776057065475
ENSMUST00000001480	0.16361740738801933	0.011063550392847954
ENSMUST00000001485	-0.10198675496688742	0.26308920919361123
ENSMUST00000001507	0.003102328640243568	-0.005480584540844269
ENSMUST00000001513	-0.12044752636792727	-0.03679364728153317
ENSMUST00000001520		0.0892496487530734
ENSMUST00000001544		-0.47359454855195904
ENSMUST00000001547	0.17673816062625167	0.2627079482439926
ENSMUST00000001548	0.320599642183879	0.03987980759456611
ENSMUST00000001562	0.5194450283792307	0.12192533189568032
ENSMUST00000001565		0.1767518302704318
ENSMUST00000001566	0.10232993042583838	0.046944901275769724
ENSMUST00000001592	-0.44493688020775884	-0.19311886884215274
ENSMUST00000001595	0.6884191176470589	-0.04946414059325477
ENSMUST00000001611	-0.17805099123805984	
ENSMUST00000001672	0.6019400161280317	0.22906986223200457
ENSMUST00000001711	-0.172106824925816	
ENSMUST00000001712	0.7998162327718223	0.42794414204054404
ENSMUST00000001757	0.04461039450856151	
ENSMUST00000001780	-0.5460194914227353	0.30778722439327505
ENSMUST00000001802		0.42443850898680757
ENSMUST00000001809	-0.235255385708236	-0.12621082966048328
ENSMUST00000001812	0.29045996592844975	
ENSMUST00000001818		0.061855854630329
ENSMUST00000001825	0.04361617763679618	-0.2073667797352008
ENSMUST00000001834	-0.08778780891761115	0.06657530512735088
ENSMUST00000001836	0.30598314241083047	-0.2363627214170692
ENSMUST00000001845	0.3938236425299815	0.23455882502269493
ENSMUST00000001884		-0.016683544303797454
ENSMUST00000001920	0.034337191496406294	0.22222786438497602
ENSMUST00000001927	0.2463959814198854	0.2711320090597454
ENSMUST00000001950		0.2719937532535138
ENSMUST00000001975	0.3394828727264429	0.33481268086321225
ENSMUST00000001989	-0.06922360473272421	0.07929138530414065
ENSMUST00000002029	-0.30501134254485457	-0.1955276626858396
ENSMUST00000002043	-0.21804553697360457	0.00982158483728493
ENSMUST00000002044	-0.7953438007579859	
ENSMUST00000002064	-0.20107881905785696	-0.2098014690227805
ENSMUST00000002084	-0.7381717960496096	
ENSMUST00000002091	0.07946553127179729	-0.04751577287066244
ENSMUST00000002099		-0.13135070541978258
ENSMUST00000002121	-0.3683529729313877	-0.08046929057635346
ENSMUST00000002133	-0.5843539226127086	-0.3885907547923323
ENSMUST00000002171	-0.5572303227742561	-0.19072086660999202
ENSMUST00000002172	0.5702746365105008	0.02364517550301068
ENSMUST00000002198		-0.13080594266887127
ENSMUST00000002280		0.17357070659882956
ENSMUST00000002284	-0.39276828434723166	-0.15443609022556393
ENSMUST00000002289		-0.1886943755628755
ENSMUST00000002291	0.7590054191903092	0.1124399547118376
ENSMUST00000002303	-0.39088242961418146	-0.0440502461381769
ENSMUST00000002397		-0.551754897180033
ENSMUST00000002400	-0.8091106290672451	
ENSMUST00000002403	-0.570548426227415	
ENSMUST00000002413	-0.4946770759403833	-0.3361136059591627
ENSMUST00000002436	-0.09520903963420446	0.31661374104453516
ENSMUST00000002445	0.08363987215823435	0.02150708450695621
ENSMUST00000002452		-0.43525709354855086
ENSMUST00000002502	-0.5910006715916722	
ENSMUST00000002518		-0.192718715393134
ENSMUST00000002529	0.7306590257879655	-0.2296711803308994
ENSMUST00000002532	0.027568721215719627	0.1918387130977446
ENSMUST00000002551	0.12085889570552141	0.07559045106328874
ENSMUST00000002603		0.1758320034970744
ENSMUST00000002677	-0.29583284043010216	0.304208690270217
ENSMUST00000002678	0.438949520324526	
ENSMUST00000002699	0.39691502463054196	0.22036330049261085
ENSMUST00000002710		0.383650644046497
ENSMUST00000002733	-0.15859726341976843	-0.11750330370558099
ENSMUST00000002735	-0.02033317001469867	-0.049983238350653686
ENSMUST00000002757		-0.40893253088375037
ENSMUST00000002790	0.027040224499409876	0.10605364397701167
ENSMUST00000002809	-0.4954932707741696	0.2722272246799514
ENSMUST00000002818	0.13859369198502774	
ENSMUST00000002825	-0.5002784641236405	-0.254488135559402
ENSMUST00000002837		-0.13007790194958807
ENSMUST00000002839	-0.2719941762279311	0.03807862688502325
ENSMUST00000002844		-0.07037472679986487
ENSMUST00000002845		-0.4550016234245402
ENSMUST00000002855	-0.18729338842975207	-0.202300826446281
ENSMUST00000002881		-0.35607004348337057
ENSMUST00000002885		0.2991065097149341
ENSMUST00000002889	-0.13803480144040692	0.09380976479797726
ENSMUST00000002891		0.11058615896418697
ENSMUST00000002902		-0.49884075433119734
ENSMUST00000002911	-0.26666899343850337	-0.10017680520678518
ENSMUST00000002914	0.04876089488693418	0.12381341955926087
ENSMUST00000002923	0.17637952797161166	0.0019319127383234935
ENSMUST00000002924	0.47649614576033633	
ENSMUST00000002925	0.10679611650485436	
ENSMUST00000002976		0.4814044994443276
ENSMUST00000002979	0.18617369610505	-0.014764780753339368
ENSMUST00000003029	-0.23435339484919435	0.0791407334803561
ENSMUST00000003035		0.11936451897616948
ENSMUST00000003038	-0.23392313947753932	0.10326692687975608
ENSMUST00000003117		-0.19548230387607554
ENSMUST00000003121	-0.36035973711518504	-0.08018507152636795
ENSMUST00000003183	0.005188379524939751	0.26603001364256484
ENSMUST00000003268		-0.07451793707257523
ENSMUST00000003310	-0.13453499104185895	-0.16001324461667243
ENSMUST00000003319	-0.15196689554643442	-0.0696664801566684
ENSMUST00000003320	0.08252771834273487	0.22643527393804863
ENSMUST00000003386		-0.13293781586464515
ENSMUST00000003434		0.2592824906295418
ENSMUST00000003438		-0.06090038993264796
ENSMUST00000003442		0.4500912808901672
ENSMUST00000003445		0.16195983503675812
ENSMUST00000003450	0.11966366613934626	0.06623451422376311
ENSMUST00000003451		0.03804682159945319
ENSMUST00000003461	-0.1573302273763103	0.13160440451912292
ENSMUST00000003521	-0.2640472398238437	-0.22020252973000237
ENSMUST00000003529		-0.24045591609930023
ENSMUST00000003550	0.1232927492297807	0.319049406671412
ENSMUST00000003572	0.3500636618283677	0.24426677887649903
ENSMUST00000003575	-0.1756401879466125	-0.2948717433500645
ENSMUST00000003599		0.8949315980680563
ENSMUST00000003621		-0.33980686926038245
ENSMUST00000003622	0.8086285795159691	0.08804138950480411
ENSMUST00000003635	-0.01229960472722165	-0.007368399142434923
ENSMUST00000003645		0.2751178061027424
ENSMUST00000003720	-0.7772853185595567	-0.05397400383549969
ENSMUST00000003726	0.10034603982764129	-0.29695344290017434
ENSMUST00000003876	-0.37383748680194967	
ENSMUST00000003906	0.007858494797543691	0.24759073545648339
ENSMUST00000003911		0.09700990952175784
ENSMUST00000003912	0.2949197384457689	-0.009725162332405918
ENSMUST00000003946	0.25007276255154015	-0.22185828234615754
ENSMUST00000003947	0.06139886531359573	0.11246285105340845
ENSMUST00000003964	0.36579927760368736	0.15157067699440585
ENSMUST00000004050	0.49794549662305765	
ENSMUST00000004054	-0.13629468794565003	-0.08888259597301795
ENSMUST00000004057	-0.14190070428658377	0.2587096774193548
ENSMUST00000004072	-0.13950127957056363	-0.08307833581236515
ENSMUST00000004094	0.4575583187750488	-0.32303180357827105
ENSMUST00000004097		-0.5922049904861301
ENSMUST00000004134	0.12599798109571447	-0.10191395982687554
ENSMUST00000004140		-0.29048905865859354
ENSMUST00000004172	-0.7807174590544395	-0.07403925054704596
ENSMUST00000004200		-0.12965340179717588
