mRNA_log2FC	RPF_log2FC	log2FC_TE_v1	pvalue_v1	control_log2TE	treat_log2TE	log2FC_TE_v2	pvalue_v2	log2FC_TE_final	pvalue_final	pvalue.adjust	colorscale	category
ENSMUSG00000037071	-5.25396568993258	-0.0602941897131393	0.521715386887081	0.999542254619838	2.80325512134976	7.99685002657316	5.19036491290156	2.7758671237551e-20	0.521715386887081	0.999542254619838	0.999542254619838	0	homodirectional
ENSMUSG00000031511	-5.25396568993258	-0.0848833127797025	0.521690773150283	0.999431335917442	1.74212076728922	6.91114711427728	5.15624027254726	8.23693300256594e-11	0.521690773150283	0.999431335917442	0.999542254619838	6.37327785229921e-07	homodirectional
ENSMUSG00000030591	-5.25396568993258	-0.0294895677804332	0.52174622234449	0.99902120895382	3.74678603532406	8.97116660327512	5.22557324167971	5.66767325305506e-34	0.52174622234449	0.99902120895382	0.999542254619838	2.9944907948436e-06	homodirectional
ENSMUSG00000027288	-6.25384073501944	0.503999052338201	1.87939507464944	0.998928201035421	1.01968107841386	7.7774875839347	6.76583436650618	3.7327936913468e-22	1.87939507464944	0.998928201035421	0.999542254619838	3.52917895321771e-06	homodirectional
ENSMUSG00000027423	-5.25396568993258	-0.0354198529216592	0.521740286123134	0.998285320051361	3.89598421942878	9.11443175413005	5.21476949007244	1.68833916198943e-36	0.521740286123134	0.998285320051361	0.999542254619838	7.22636432160577e-06	homodirectional
ENSMUSG00000022407	-5.83882474405379	0.710309652071244	1.87056883762995	0.998148044318141	3.3082215768861	9.85726775690886	6.54340273790842	4.28177549134623e-61	1.87056883762995	0.998148044318141	0.999542254619838	8.01614059404493e-06	homodirectional
ENSMUSG00000052707	-0.489473932898824	1.61555491944754	1.97658664434914	0.997975047250039	-0.650158353401451	1.45489075125047	2.11492698938477	0.0580864268761261	1.97658664434914	0.997975047250039	0.999542254619838	9.01158395322748e-06	treat_only
ENSMUSG00000001415	-5.83882474405379	0.88718314807655	1.87052253832266	0.997868545807278	0.524605244732639	7.25057384524176	6.72479369741246	1.84306967519674e-14	1.87052253832266	0.997868545807278	0.999542254619838	9.62449029592599e-06	treat_only
ENSMUSG00000028692	-5.83882474405379	0.715780524391403	1.8705797903273	0.99767758431043	2.7952600580973	9.34978711778285	6.54757610352957	6.37782732553336e-48	1.8705797903273	0.99767758431043	0.999542254619838	1.07236205654228e-05	homodirectional
ENSMUSG00000018166	2.5104647206249	1.56716308009524	-0.558902203844355	0.997622311405461	-3.10958491937862	-4.05285776754477	-1.14302957527157	0.832999619464894	-0.558902203844355	0.997622311405461	0.999542254619838	1.10417978996925e-05	stable
ENSMUSG00000038776	-5.83882474405379	0.84113778743862	1.87043035541848	0.997547402499055	2.22129767937226	8.90118949359232	6.67671495524418	7.20146443705747e-38	1.87043035541848	0.997547402499055	0.999542254619838	1.14730376061045e-05	homodirectional
ENSMUSG00000024392	-6.25384073501944	0.405460685777041	1.87919780064232	0.997267239644068	3.2043913095073	9.8636192149666	6.65908848310356	4.07272642033554e-66	1.87919780064232	0.997267239644068	0.999542254619838	1.30861816104455e-05	homodirectional
ENSMUSG00000042557	-5.83882474405379	0.923623758980832	1.87059549249864	0.997104281146133	0.600056648196085	7.36246335642357	6.77606645630621	1.56978398718342e-15	1.87059549249864	0.997104281146133	0.999542254619838	1.40246855031856e-05	treat_only
ENSMUSG00000032507	0.510477766622665	0.464100015785538	0	0.9966534284441	-2.91461532883332	-2.96099197369131	-0.0418882649097672	0.946336629717394	0	0.9966534284441	0.999542254619838	1.66220173034862e-05	stable
ENSMUSG00000009863	-6.25384073501944	0.475492990989471	1.87933800545756	0.996447100357222	1.30402292412557	8.03331869447601	6.72502897125373	1.0818544943683e-25	1.87933800545756	0.996447100357222	0.999542254619838	1.78110513132475e-05	homodirectional
ENSMUSG00000027963	-5.25396568993258	-0.0807464193749947	0.521694914184735	0.996078411776759	1.52699755773322	6.70016462143524	5.18571678587001	1.80238605547264e-09	0.521694914184735	0.996078411776759	0.999542254619838	1.99363546730539e-05	homodirectional
ENSMUSG00000044147	-5.25396568993258	-0.0406336852253365	0.521735067071774	0.995687397642906	2.78821132701088	8.00146653414842	5.21420519443576	2.47707278520732e-20	0.521735067071774	0.995687397642906	0.999542254619838	2.21912132938987e-05	homodirectional
ENSMUSG00000018965	-5.25396568993258	-0.0724049058545171	0.521703264048114	0.9953103794059	3.09981749026922	8.2812962936461	5.17386934078085	1.25413145103358e-23	0.521703264048114	0.9953103794059	0.999542254619838	2.43662005502182e-05	homodirectional
ENSMUSG00000004394	-5.25396568993258	-0.086578586656886	0.521689076179456	0.995158822957404	2.40212068170353	7.56943947964165	5.17623861930589	5.01197697729798e-16	0.521689076179456	0.995158822957404	0.999542254619838	2.52407494273945e-05	homodirectional
ENSMUSG00000016262	-2.07447391712868	-2.25592270643909	0	0.995050698272612	-2.17102613119154	-2.35246560851462	-0.242586905337308	0.851053735724707	0	0.995050698272612	0.999542254619838	2.58647589017015e-05	stable
ENSMUSG00000036620	-6.25384073501944	0.277687774360554	1.87934239941825	0.994976935596315	-2.06517172176771	4.46638376817312	6.56819841683345	0.00251883603300429	1.87934239941825	0.994976935596315	0.999542254619838	2.62904971677765e-05	opposite_change
ENSMUSG00000035011	-5.83882474405379	0.932842380460991	1.8706139481973	0.994597547454762	0.00588218009954681	6.77751831071491	6.77103717681818	1.11103927469657e-10	1.8706139481973	0.994597547454762	0.999542254619838	2.84807219235596e-05	treat_only
ENSMUSG00000079658	-5.25396568993258	-0.072939931362111	0.521702728487043	0.99449083161902	3.24130251456695	8.42224358278691	5.18308422605644	1.80269314600191e-25	0.521702728487043	0.99449083161902	0.999542254619838	2.9096947782107e-05	homodirectional
ENSMUSG00000003429	-5.25396568993258	0.032395677335384	0.521808169536797	0.994321646305107	4.73349087769898	10.0197358781544	5.28697604124025	2.05714292519958e-54	0.521808169536797	0.994321646305107	0.999542254619838	3.00740364013831e-05	homodirectional
ENSMUSG00000022377	-5.25396568993258	-0.0770907628422884	0.521698573500572	0.9937427934789	3.19642527320492	8.37321647817885	5.18024626703879	8.17770638271048e-25	0.521698573500572	0.9937427934789	0.999542254619838	3.34183180172708e-05	homodirectional
ENSMUSG00000035478	1.83240364012621	2.02264376365691	0.179970210333863	0.993258217404821	-0.0652326304506964	0.125009270047141	0.205937630934419	0.791837337951876	0.179970210333863	0.993258217404821	0.999542254619838	3.62194206129642e-05	stable
