log2FC_TE_v1	pvalue_v1	log2FC_TE_v2	pvalue_v2	log2FC_TE_final	pvalue_final	pvalue.adjust
ENSMUSG00000000001	-1.16294504384472	3.25778024999707e-05	-1.1544772997757	0.000153415387230312	-1.1544772997757	0.000153415387230312	0.000906312159720257
ENSMUSG00000000028	-1.83463844824772	7.73040126513756e-07	-1.82838349268012	1.13280344875169e-06	-1.82838349268012	1.13280344875169e-06	1.51334149616569e-05
ENSMUSG00000000056	1.71122999513928	0.212203456627235	1.64563743265863	0.194704194721436	1.71122999513928	0.212203456627235	0.325709731086995
ENSMUSG00000000058	-0.482434240483249	0.217515790332082	-0.474025840187075	0.264285241961982	-0.474025840187075	0.264285241961982	0.384463346544412
ENSMUSG00000000078	-0.484346392419497	0.178170654032119	-0.476936695386824	0.244982839779131	-0.476936695386824	0.244982839779131	0.362887357078373
ENSMUSG00000000085	4.76539447646224	0.00827429236811623	4.82711902569338	3.56992250166983e-07	4.76539447646224	0.00827429236811623	0.0244533982562845
ENSMUSG00000000088	-0.474432177320471	0.0683115216574531	-0.465678670519417	0.118145611194833	-0.465678670519417	0.118145611194833	0.206969994939176
ENSMUSG00000000127	-0.522932720465787	0.258081341952343	-0.515413830526849	0.322544225455659	-0.515413830526849	0.322544225455659	0.448727177175906
ENSMUSG00000000131	-0.159110959244088	0.63518328338987	-0.153134603622237	0.597112414179105	-0.159110959244088	0.63518328338987	0.73954360980867
ENSMUSG00000000134	0.176809382478716	0.700519374706784	0.192424996258243	0.671561690818892	0.176809382478716	0.700519374706784	0.789740079564735
ENSMUSG00000000148	2.19173875905437	0.0637365449617685	2.20950074139793	0.00597088758706628	2.19173875905437	0.0637365449617685	0.127050410432218
ENSMUSG00000000168	-1.54974184181988	8.09672068199865e-08	-1.54974185537148	5.84992008460042e-07	-1.54974185537148	5.84992008460042e-07	8.97899393891606e-06
ENSMUSG00000000171	-0.551423390347349	0.0656834635893335	-0.550555250916025	0.0761240322156418	-0.550555250916025	0.0761240322156418	0.146091718117489
ENSMUSG00000000184	-0.0555864420685079	0.847930528039884	-0.0493250395041942	0.882777818958469	-0.0493250395041942	0.882777818958469	0.928662153801506
ENSMUSG00000000194	0.888923195816465	0.0677295975695794	0.901535806812011	0.0498432410092887	0.888923195816465	0.0677295975695794	0.133292046490905
ENSMUSG00000000266	-0.46858516809387	0.548864488500421	-0.442594151799423	0.576689511370372	-0.442594151799423	0.576689511370372	0.688969063930242
ENSMUSG00000000278	0.00661538692228847	0.971175619676772	0.00781658796008244	0.957093524294355	0.00661538692228847	0.971175619676772	0.986769143711019
ENSMUSG00000000295	0.105045664757689	0.809852751232103	0.125383577675207	0.791480099237462	0.105045664757689	0.809852751232103	0.873676947418631
ENSMUSG00000000326	0.231622989016392	0.513998216824398	0.244359646780278	0.475374203890097	0.231622989016392	0.513998216824398	0.63558161401632
ENSMUSG00000000339	-0.314451769468146	0.480286066838149	-0.305270051404168	0.493801666487286	-0.305270051404168	0.493801666487286	0.617043884938803
ENSMUSG00000000340	-0.225899215484441	0.713499384601397	-0.147174669192175	0.885295699172692	-0.147174669192175	0.885295699172692	0.930437525325145
ENSMUSG00000000346	1.86022186932351	2.65506004801912e-05	1.87057080060266	0.000664483933767688	1.87057080060266	0.000664483933767688	0.00309863419405307
ENSMUSG00000000355	0.446769293775568	0.360563809397213	0.499292792114826	0.481054931179079	0.499292792114826	0.481054931179079	0.604758783262738
ENSMUSG00000000374	0.0397673731708803	0.944520713125612	0.047102316154485	0.881055046237815	0.0397673731708803	0.944520713125612	0.970571101224614
ENSMUSG00000000378	1.60420909363105	0.0420671155864096	1.62059676128115	1.12311379133615e-05	1.60420909363105	0.0420671155864096	0.0916245790968229
ENSMUSG00000000384	-0.737522597006782	0.0420680283413262	-0.734530535698985	0.0581584086809106	-0.734530535698985	0.0581584086809106	0.118618818270876
ENSMUSG00000000399	-0.892132227041813	0.00240877421080228	-0.885005110135762	0.00287866579339804	-0.885005110135762	0.00287866579339804	0.0103214190027701
ENSMUSG00000000420	-2.16403850716305	7.23402149109332e-07	-2.15511318621733	3.45376148561439e-06	-2.15511318621733	3.45376148561439e-06	3.96742601229653e-05
ENSMUSG00000000440	-1.17585541543736	0.0971393292871575	-1.14064022566413	0.217383248886532	-1.14064022566413	0.217383248886532	0.331333775082915
ENSMUSG00000000441	0.261834666049091	0.485865400287428	0.267606662710686	0.398354094086784	0.261834666049091	0.485865400287428	0.609359005158816
ENSMUSG00000000538	2.61725046153041	0.000212751724198041	2.63554980027379	4.7165944685241e-07	2.61725046153041	0.000212751724198041	0.0011921495533814
ENSMUSG00000000555	1.51741478955327	2.94975089700986e-09	1.52404449379587	2.60982406245178e-07	1.52404449379587	2.60982406245178e-07	4.51493304233264e-06
ENSMUSG00000000561	0.308639181281875	0.337258075903846	0.312300952327141	0.36153980461412	0.312300952327141	0.36153980461412	0.489081262748918
ENSMUSG00000000563	0.253843751311074	0.386285754382654	0.262960228384188	0.440683406835867	0.262960228384188	0.440683406835867	0.566278962756314
ENSMUSG00000000568	-0.73440105917923	0.0113316093981968	-0.7303875510342	0.0556801158691936	-0.7303875510342	0.0556801158691936	0.114895982803307
ENSMUSG00000000581	0.28565941529099	0.494491479383257	0.298419301553526	0.538159802342951	0.298419301553526	0.538159802342951	0.657345887927878
ENSMUSG00000000594	2.54059213082755	5.66739644643151e-05	2.54493867772058	2.25099565715583e-05	2.54059213082755	5.66739644643151e-05	0.000400044989868463
ENSMUSG00000000600	-1.22096427077642	0.0216298214217681	-1.18009815947043	0.0371181213050352	-1.18009815947043	0.0371181213050352	0.0826196010782241
ENSMUSG00000000628	0.76228342234169	0.241191979595484	0.809548311138727	0.231772948658864	0.76228342234169	0.241191979595484	0.359312375956194
ENSMUSG00000000631	-1.52272617914669	0.000673689184708698	-1.50218246225895	0.000263592934345576	-1.52272617914669	0.000673689184708698	0.00312942290952257
ENSMUSG00000000693	-0.716893229491164	0.153436346680386	-0.698970903163074	0.216084637880892	-0.698970903163074	0.216084637880892	0.330121680998043
ENSMUSG00000000711	-8.53410465226348	7.5679747878892e-12	-8.32439444694727	4.56814834130405e-12	-8.53410465226348	7.5679747878892e-12	5.19955905903168e-10
ENSMUSG00000000738	0.48807181586372	0.240401320790703	0.49965254392824	0.197509229705639	0.48807181586372	0.240401320790703	0.35846530140226
ENSMUSG00000000743	-1.49099256920744	0.0870460219867381	-1.48618781122335	0.135586315567429	-1.48618781122335	0.135586315567429	0.229464049848817
ENSMUSG00000000751	-0.67437339042611	0.00683866087391505	-0.667696434106304	0.0119200679894029	-0.667696434106304	0.0119200679894029	0.0331118099636319
ENSMUSG00000000753	-0.930641264811687	0.00198531311473079	-0.926248520882551	0.00523951238969901	-0.926248520882551	0.00523951238969901	0.0167247090173844
ENSMUSG00000000759	-0.760599010994897	0.0129816293152765	-0.75622418404124	0.011519722060347	-0.760599010994897	0.0129816293152765	0.0355169141178623
ENSMUSG00000000776	-2.35957382290303	0.0156257838497836	-2.3799943001717	0.0504488427597177	-2.3799943001717	0.0504488427597177	0.106042526709966
ENSMUSG00000000787	-0.511371336295975	0.0122545841924215	-0.507298474470192	0.0283458205508256	-0.507298474470192	0.0283458205508256	0.067032634067668
ENSMUSG00000000804	3.4948396058737	1.0483683013866e-07	3.51841313355847	2.57002660510722e-13	3.4948396058737	1.0483683013866e-07	2.10666543905373e-06
ENSMUSG00000000811	-5.94850619578789	9.11895020625106e-11	-5.88867890186762	1.2320918920998e-10	-5.88867890186762	1.2320918920998e-10	6.30376660255885e-09
ENSMUSG00000000823	-0.0616632519339859	0.935847865274594	0.0588604487828022	0.934899919986429	-0.0616632519339859	0.935847865274594	0.963742043155967
