mRNA_log2FC	RPF_log2FC	log2FC_TE_v1	pvalue_v1	control_log2TE	case_log2TE	log2FC_TE_v2	pvalue_v2	log2FC_TE_final	pvalue_final	pvalue.adjust	colorscale	category
ENSMUSG00000036197	1.85498572196857	1.88289253590027	0	0.999966192341308	-0.421485168279799	-0.393578711410016	0.0765044108677344	0.840904694294918	0	0.999966192341308	0.999966192341308	0	stable
ENSMUSG00000025173	-2.18269924453908	-2.15473211323641	0.0208488159472502	0.999657012507493	1.79378154630503	1.82174951774453	0.0220780139568357	0.950661475795241	0.0208488159472502	0.999657012507493	0.999795603525447	3.08521514155134e-06	stable
ENSMUSG00000058444	-0.88339450680746	-0.854070659321203	0	0.999471977141734	-1.02080305171449	-0.991480560911203	0.0370663888796834	0.959900352682561	0	0.999471977141734	0.999749146297902	4.93208539482506e-06	stable
ENSMUSG00000014402	0.434160821877624	0.44849043544644	0	0.999442199177573	-0.362592409553333	-0.348263177417118	0.0228371663985349	0.938621979890309	0	0.999442199177573	0.999749146297902	5.22933638780181e-06	stable
ENSMUSG00000022972	1.17767877137203	1.20482138908155	0	0.99944148542782	-0.187020388545044	-0.159878210798133	0.0893436279834781	0.889760702898569	0	0.99944148542782	0.999749146297902	5.23646132280714e-06	stable
ENSMUSG00000036103	1.45196295313042	1.44746314904189	-0.00761211191600464	0.96050369264898	0.347468863476818	0.342969002882601	0	0.999365923558308	0	0.999365923558308	0.999749146297902	5.99077885738416e-06	stable
ENSMUSG00000049482	-0.530696097080773	-0.511184863434642	0	0.998928707799735	0.661803971073268	0.681315385555908	0.0256646875164819	0.950960931238138	0	0.998928707799735	0.999749146297902	1.03565277382436e-05	stable
ENSMUSG00000034575	1.24684339273978	1.22838940158932	-0.0234418958870375	0.902119205238163	1.11753973940445	1.09908590478203	0	0.998808149665114	0	0.998808149665114	0.999749146297902	1.15606780349822e-05	stable
ENSMUSG00000032763	-1.47164956295481	-1.47074286780603	-0.0264273340291776	0.962675113650155	-0.300509748772589	-0.299603546845818	0	0.998389445316225	0	0.998389445316225	0.999497843257181	1.57438806745668e-05	stable
ENSMUSG00000006390	0.110065262680113	0.107453116706339	-0.0108134255715457	0.968681519122126	-0.703380014622122	-0.705992473672109	0	0.998243665688155	0	0.998243665688155	0.999490604340645	1.72007514411857e-05	stable
ENSMUSG00000058571	-1.39737404994143	-1.35157131962882	0	0.998185010308492	0.39264756176944	0.43845036474328	0.0441357413472954	0.945069654523887	0	0.998185010308492	0.999490604340645	1.7786992875527e-05	stable
ENSMUSG00000034066	1.69444222318246	1.67317409845197	-0.0308734096591201	0.915886081782655	0.544960897789071	0.523692682422694	0	0.997987221843724	0	0.997987221843724	0.999490604340645	1.97640781891952e-05	stable
ENSMUSG00000025200	-0.415457336641846	-0.406612360636947	0	0.997922600162891	-1.48247618047289	-1.47363251049396	0.0324412849549347	0.962518091423965	0	0.997922600162891	0.999490604340645	2.04101187626283e-05	stable
ENSMUSG00000036241	0.790963319251333	0.788604989345821	-0.0134157741040095	0.944708225935023	1.14882906197391	1.14647090478506	0	0.997417986419244	0	0.997417986419244	0.999218629916459	2.54563193141184e-05	stable
ENSMUSG00000037791	-0.50368107060527	-0.486340624345397	0	0.997343679174937	0.20358643508881	0.220926850539037	0.0152325729884391	0.955737490766908	0	0.997343679174937	0.999218629916459	2.61996166933797e-05	stable
ENSMUSG00000053477	-0.178666628909822	-0.178912570931535	-0.00900925519721874	0.975612622772221	-0.640217903879322	-0.640464072829646	0	0.997189679496975	0	0.997189679496975	0.999218629916459	2.77402559804453e-05	stable
ENSMUSG00000044906	2.704400090632	2.60535821653741	-0.240139181055145	0.647816039004914	4.3154500109993	4.21640240616958	-0.0555546022070388	0.996976879089089	-0.0555546022070388	0.996976879089089	0.999192998853666	2.986953947618e-05	stable
ENSMUSG00000031479	-1.33244051942291	-1.32355794234198	0	0.996695815703286	0.141108110679405	0.149990641050462	0.0106195020324034	0.979041509007937	0	0.996695815703286	0.999050106222524	3.26825598319799e-05	stable
ENSMUSG00000024151	-1.23211476779618	-1.22444094352214	0	0.996469542249729	-0.823879260272273	-0.816205834111513	0	0.982108636195418	0	0.996469542249729	0.998962100860136	3.49477920825146e-05	stable
ENSMUSG00000037892	-0.211387251850477	-0.206646488750568	0	0.996331929014658	0.33475784066863	0.339498608574204	0.00721195272062625	0.972086136796196	0	0.996331929014658	0.998962100860136	3.63256950303494e-05	stable
ENSMUSG00000061353	2.60777921251125	2.57219164999625	-0.0385809311812413	0.906065614362224	-1.71426818638876	-1.74985630039894	-0.0218574455595686	0.99592072212505	-0.0218574455595686	0.99592072212505	0.998689475870185	4.04441889997585e-05	stable
ENSMUSG00000029238	0.686048210845303	0.681980096608489	-0.0172212894036403	0.935814103331994	0.918588949521916	0.914520987684017	0	0.995597789342667	0	0.995597789342667	0.998504442140692	4.36797549010003e-05	stable
ENSMUSG00000027706	-0.056484801798121	-0.0507647385825753	0	0.995191239102701	-0.351945714969572	-0.346225839697125	0.0108165364116841	0.967895485645744	0	0.995191239102701	0.998235483716196	4.77546032295557e-05	stable
ENSMUSG00000078762	1.84191886156962	2.3158519607997	0.407355221419877	0.994615619731628	3.90042615232977	4.37435597149898	0.516277365014211	0.454931666469514	0.407355221419877	0.994615619731628	0.997796840598521	5.35268773658858e-05	stable
ENSMUSG00000026155	-0.0731808103001421	-0.0588924185870054	0	0.99408032016362	0.0106245775804725	0.0249128511087195	0.0136279161897184	0.952456745763996	0	0.99408032016362	0.997398529855404	5.88978257096819e-05	stable
ENSMUSG00000037652	-1.17004217566781	-1.15363147468463	0	0.99362227539443	-1.72891432926288	-1.71250501275759	0	0.978243479952598	0	0.99362227539443	0.997077631756213	6.34959318275289e-05	stable
ENSMUSG00000028995	0.55794088019405	0.548026100967177	-0.024234148928155	0.924097837600254	0.264853436902837	0.254938553543637	0	0.993575482273269	0	0.993575482273269	0.997077631756213	6.3965786321386e-05	stable
ENSMUSG00000074746	0.288331785008662	0.301205137736071	0.011424297650378	0.993401041616039	1.26711584173118	1.27998940943211	0.0156413885239259	0.946333599710391	0.011424297650378	0.993401041616039	0.997077631756213	6.57175577495292e-05	stable
ENSMUSG00000027966	1.38249840646967	1.40896197528177	0	0.992654585053748	-0.491874799278393	-0.46541181440906	0.102155081050789	0.878987453455488	0	0.992654585053748	0.996522429248225	7.32171147734239e-05	stable
ENSMUSG00000028718	0.923067013854198	0.95328224297742	0.0208510662954184	0.992454006272316	0.704044529515577	0.734259823056488	0.0376981287157978	0.909083554211021	0.0208510662954184	0.992454006272316	0.996459735733958	7.52332663522519e-05	stable
ENSMUSG00000054733	-0.757677363101672	-0.709681908016042	0	0.992393106150317	0.808519749736001	0.856515644647705	0.0437397315213452	0.927861297950884	0	0.992393106150317	0.996459735733958	7.58454948796684e-05	stable
ENSMUSG00000039005	1.06057029667813	1.02039676203295	-0.0739140876222679	0.813040018452618	2.16347480439572	2.12330198079563	0	0.992391530203884	0	0.992391530203884	0.996459735733958	7.58613383575259e-05	stable
ENSMUSG00000032640	0.546886092941114	0.602565448328396	0.0372929723277151	0.991910755151491	3.01208645264119	3.06776690875622	0.0639980808175076	0.857430765304544	0.0372929723277151	0.991910755151491	0.996330296249353	8.06958939547885e-05	stable
ENSMUSG00000019773	0.925569160246105	0.921220894501967	-0.0106149632289729	0.966336869133594	-0.613437859226835	-0.617786438897239	0	0.99167236533437	0	0.99167236533437	0.996229556262658	8.30939523685581e-05	stable
ENSMUSG00000027983	0.244996060059104	0.233391251706099	-0.0426542590674206	0.901092552771125	0.271085935399307	0.259480957909521	0	0.991542711979145	0	0.991542711979145	0.996229556262658	8.43984293031352e-05	stable
ENSMUSG00000024335	0.127402071295195	0.145926880092605	0.013431956765563	0.991346471149748	1.92998563980036	1.94851084931002	0.0216772528814104	0.930596202639965	0.013431956765563	0.991346471149748	0.996179613159811	8.63731850558304e-05	stable
ENSMUSG00000020664	0.454408145343003	0.454679810403221	0	0.991253043029706	-1.42230619199946	-1.42203489690452	0.0112114827778731	0.971802927925693	0	0.991253043029706	0.996179613159811	8.73134821070303e-05	stable
ENSMUSG00000067873	1.07022036910335	1.05846420677219	-0.0216451574821446	0.941189940272576	0.183773268934793	0.172017009072935	0	0.991196324069725	0	0.991196324069725	0.996179613159811	8.78843670834828e-05	stable
ENSMUSG00000051403	0.304497463291537	0.418946351166631	0.0571716205083836	0.991169872151139	1.65251416593696	1.7669639767794	0.138710960014226	0.827378864546481	0.0571716205083836	0.991169872151139	0.996179613159811	8.81506208457023e-05	stable
ENSMUSG00000026034	1.37733662433998	1.36005187625655	-0.030064634130297	0.919084014233857	0.830052169689772	0.812767446866148	0	0.990563645261769	0	0.990563645261769	0.995947893647164	9.42545911721801e-05	stable
ENSMUSG00000019710	0.27213819868759	0.277172055623132	0	0.990354182665719	-0.303430513576807	-0.298396946103411	0.0182232568242977	0.957881279645956	0	0.990354182665719	0.995876090570183	9.63644941351459e-05	stable
ENSMUSG00000056952	-0.301472640029102	-0.303875888816228	0	0.896129448248668	3.0930864032084	3.09068451330701	0	0.990096211107114	0	0.990096211107114	0.995755481238912	9.89636380106808e-05	stable
ENSMUSG00000031660	1.47560757299503	1.47425275373765	0	0.96484869848742	0.441009688571801	0.439654819135202	0.0100113662356724	0.98960287634714	0.0100113662356724	0.98960287634714	0.995398096760774	0.000103936025920961	stable
ENSMUSG00000024601	2.3824946260942	2.26140378282024	-0.147189371057606	0.767648785576703	1.57851124224822	1.45742034942122	-0.0739950859788081	0.989564199668917	-0.0739950859788081	0.989564199668917	0.995398096760774	0.000104325958182685	stable
ENSMUSG00000083012	2.704400090632	3.23338762234938	0.480738713777203	0.989408490020006	3.31545374065663	3.84443462065627	0.59897285813814	0.48645673334876	0.480738713777203	0.989408490020006	0.995398096760774	0.000105895952876708	stable
ENSMUSG00000064030	-2.01438910672087	-1.96954688935225	0	0.971267006868541	-0.28786066706095	-0.243019591385822	0	0.988867790104668	0	0.988867790104668	0.995074939017307	0.000111349660203305	stable
ENSMUSG00000031818	-1.05074478277228	-1.05118620102667	0	0.982713244817032	0.368755849196809	0.36831438571983	0	0.98857760072131	0	0.98857760072131	0.994921709208082	0.000114277851753552	stable
ENSMUSG00000021054	-0.0886817596839873	-0.0785044502770238	0	0.988547093096662	1.16469908237896	1.17487668928697	0.0100201978047125	0.95918208111486	0	0.988547093096662	0.994921709208082	0.000114585742611085	stable
ENSMUSG00000058997	1.40997909202482	1.37622490386923	-0.0377052135899012	0.89745493628219	0.315479255973082	0.281724918128554	-0.0230568111489937	0.988477149657603	-0.0230568111489937	0.988477149657603	0.994921709208082	0.00011529166579784	stable
ENSMUSG00000022856	0.142828447984085	0.145928147296597	-0.0238269266259383	0.988327628984696	-0.839798368781129	-0.836699452185599	0.0304335324490452	0.95306241182211	-0.0238269266259383	0.988327628984696	0.994921709208082	0.000116800911405651	stable
ENSMUSG00000024422	0.409979557561093	0.441382909157654	0.0186500534050014	0.988153261986697	1.81143647441557	1.84284029968858	0.0393649802813734	0.907028941152257	0.0186500534050014	0.988153261986697	0.994921709208082	0.000118561241570255	stable
ENSMUSG00000032320	0.195718078258916	0.198394256752842	0	0.988104861133709	-0.597809689631989	-0.595133615432178	0.00640908515935923	0.975021378083042	0	0.988104861133709	0.994921709208082	0.000119049929718619	stable
ENSMUSG00000028882	-0.742016038087483	-0.743648912236824	-0.00981144431846825	0.961278225303676	0.178720750178597	0.177087854673868	0	0.987946817847883	0	0.987946817847883	0.994921709208082	0.00012064580964534	stable
ENSMUSG00000037643	-1.02329504334518	-1.00972371538732	0.0106241955234809	0.987822187159912	0.271084807333524	0.284656143806995	0.00882239373020388	0.962311260388136	0.0106241955234809	0.987822187159912	0.994921709208082	0.000121904477914939	stable
ENSMUSG00000062031	3.43312176079083	2.95327639335251	-0.505463608017276	0.561296307670012	-0.491873758777072	-0.97171626433095	-0.384944629640756	0.987774323451076	-0.384944629640756	0.987774323451076	0.994921709208082	0.00012238790452996	stable
ENSMUSG00000040331	0.846662693816164	0.837088891760365	-0.0104199937958516	0.941737450450339	0.525401965959929	0.515828170422778	0	0.98772552661564	0	0.98772552661564	0.994921709208082	0.00012288077990022	stable
ENSMUSG00000063873	2.72488798416068	2.69024737421769	-0.0466813219318749	0.83808674931656	2.67804708929229	2.64340628999845	0	0.987626036179237	0	0.987626036179237	0.994921709208082	0.000123885764472983	stable
ENSMUSG00000039318	0.783428908440611	0.77474375468624	-0.0106193044582126	0.941629196211901	0.686662092279183	0.67797698697805	0	0.987322293882233	0	0.987322293882233	0.994921709208082	0.000126954588584351	stable
ENSMUSG00000002105	-0.99456999599847	-0.991575755424371	-0.024227221462036	0.961585416768689	0.716017367021678	0.719011906143841	0	0.98709738766789	0	0.98709738766789	0.994921709208082	0.000129227510127744	stable
ENSMUSG00000035199	0.168577240564315	0.172158422186784	0	0.98692177776823	-0.645957709458095	-0.642376656084367	0.00721079184521933	0.97185801345828	0	0.98692177776823	0.994921709208082	0.000131002598953955	stable
ENSMUSG00000066643	0.578721944015076	0.566258977387202	-0.0248497757089647	0.93804080697285	0.16453714412977	0.152074090113602	0	0.986652465129278	0	0.986652465129278	0.994921709208082	0.00013372546156733	stable
ENSMUSG00000018559	0.311416052958441	0.297930462078	-0.025839324915796	0.902036987421938	1.36992700766386	1.35644190078495	0	0.986635432133938	0	0.986635432133938	0.994921709208082	0.000133897697211841	stable
ENSMUSG00000038838	0.0223240556501278	0.0845275616951462	0.0354977012072517	0.986381724740898	0.474177552642707	0.536381129070221	0.0866732840132958	0.894323776567111	0.0354977012072517	0.986381724740898	0.994921709208082	0.00013646350856545	stable
ENSMUSG00000038888	-0.0535994732019992	-0.117104322189254	-0.135062071769745	0.862576283795699	-1.62311696652467	-1.68662412491664	0	0.986123995006699	0	0.986123995006699	0.994811704653661	0.000139070674760031	stable
ENSMUSG00000029415	0.0877552109175767	0.0788130083135695	-0.0114203625651692	0.947728274231609	-0.0705794229960116	-0.0795217528910397	0	0.985155935673895	0	0.985155935673895	0.993974114678529	0.000148869548683316	stable
ENSMUSG00000073557	-1.0234916831511	-0.854067183882516	0	0.984957831421363	-2.41243547243098	-2.24301516935012	0.119488909212293	0.902291191644467	0	0.984957831421363	0.993913246030733	0.000150875983027509	stable
