7-111-R.toTranscriptome.sort	7-7-R.toTranscriptome.sort
ENSMUST00000049122	ENSMUST00000027214
ENSMUST00000018875	ENSMUST00000094632
ENSMUST00000046022	ENSMUST00000049122
ENSMUST00000102980	ENSMUST00000109381
ENSMUST00000210690	ENSMUST00000170757
ENSMUST00000064759	ENSMUST00000018875
ENSMUST00000073192	ENSMUST00000005671
ENSMUST00000144099	ENSMUST00000046022
ENSMUST00000108633	ENSMUST00000043045
ENSMUST00000023396	ENSMUST00000106090
ENSMUST00000046709	ENSMUST00000064759
ENSMUST00000023206	ENSMUST00000099558
ENSMUST00000121326	ENSMUST00000073192
ENSMUST00000007747	ENSMUST00000144099
ENSMUST00000034791	ENSMUST00000108633
ENSMUST00000019405	ENSMUST00000115438
ENSMUST00000026723	ENSMUST00000023396
ENSMUST00000032342	ENSMUST00000027979
ENSMUST00000102820	ENSMUST00000046709
ENSMUST00000057725	ENSMUST00000060253
ENSMUST00000021832	ENSMUST00000023206
ENSMUST00000109820	ENSMUST00000038213
ENSMUST00000053087	ENSMUST00000150819
ENSMUST00000030207	ENSMUST00000121326
ENSMUST00000000594	ENSMUST00000007747
ENSMUST00000025253	ENSMUST00000019405
ENSMUST00000170373	ENSMUST00000026723
ENSMUST00000035960	ENSMUST00000168064
ENSMUST00000019937	ENSMUST00000143082
ENSMUST00000023117	ENSMUST00000030412
ENSMUST00000114548	ENSMUST00000057725
ENSMUST00000058578	ENSMUST00000021832
ENSMUST00000117069	ENSMUST00000109820
ENSMUST00000034378	ENSMUST00000053087
ENSMUST00000165400	ENSMUST00000021922
ENSMUST00000065630	ENSMUST00000030207
ENSMUST00000107131	ENSMUST00000000594
ENSMUST00000040844	ENSMUST00000001172
ENSMUST00000107853	ENSMUST00000025253
ENSMUST00000163898	ENSMUST00000093795
ENSMUST00000020268	ENSMUST00000170373
ENSMUST00000022450	ENSMUST00000035960
ENSMUST00000092404	ENSMUST00000031978
ENSMUST00000023062	ENSMUST00000019937
ENSMUST00000054459	ENSMUST00000023117
ENSMUST00000117363	ENSMUST00000024823
ENSMUST00000110943	ENSMUST00000002280
ENSMUST00000135671	ENSMUST00000035053
ENSMUST00000105951	ENSMUST00000111773
ENSMUST00000043812	ENSMUST00000114548
ENSMUST00000019660	ENSMUST00000058578
ENSMUST00000100219	ENSMUST00000033577
ENSMUST00000072232	ENSMUST00000033158
ENSMUST00000023113	ENSMUST00000117069
ENSMUST00000034740	ENSMUST00000023727
ENSMUST00000037383	ENSMUST00000034378
ENSMUST00000034343	ENSMUST00000065630
ENSMUST00000048073	ENSMUST00000107131
ENSMUST00000170883	ENSMUST00000058535
ENSMUST00000209913	ENSMUST00000086023
ENSMUST00000054908	ENSMUST00000040844
ENSMUST00000034983	ENSMUST00000107853
ENSMUST00000022849	ENSMUST00000163898
ENSMUST00000116380	ENSMUST00000020268
ENSMUST00000015903	ENSMUST00000022450
ENSMUST00000022821	ENSMUST00000092404
ENSMUST00000043867	ENSMUST00000023062
ENSMUST00000099490	ENSMUST00000071106
ENSMUST00000016452	ENSMUST00000057612
ENSMUST00000202622	ENSMUST00000054459
ENSMUST00000022793	ENSMUST00000117363
ENSMUST00000058159	ENSMUST00000135671
ENSMUST00000035099	ENSMUST00000105951
ENSMUST00000021278	ENSMUST00000106229
ENSMUST00000058735	ENSMUST00000043812
ENSMUST00000210812	ENSMUST00000023482
ENSMUST00000007865	ENSMUST00000019660
ENSMUST00000002403	ENSMUST00000041587
ENSMUST00000050556	ENSMUST00000100219
ENSMUST00000073316	ENSMUST00000027655
ENSMUST00000024270	ENSMUST00000072232
ENSMUST00000031426	ENSMUST00000023113
ENSMUST00000092170	ENSMUST00000034740
ENSMUST00000029950	ENSMUST00000043098
ENSMUST00000029574	ENSMUST00000037383
ENSMUST00000071718	ENSMUST00000062148
ENSMUST00000025418	ENSMUST00000034343
ENSMUST00000165952	ENSMUST00000048073
ENSMUST00000042125	ENSMUST00000170883
ENSMUST00000100304	ENSMUST00000209913
ENSMUST00000048128	ENSMUST00000054908
ENSMUST00000113915	ENSMUST00000034983
ENSMUST00000107389	ENSMUST00000022849
ENSMUST00000020980	ENSMUST00000015049
ENSMUST00000190686	ENSMUST00000116380
ENSMUST00000027444	ENSMUST00000015903
ENSMUST00000026302	ENSMUST00000022207
ENSMUST00000049323	ENSMUST00000022821
ENSMUST00000047973	ENSMUST00000043867
ENSMUST00000048615	ENSMUST00000047368
ENSMUST00000035065	ENSMUST00000099490
ENSMUST00000047632	ENSMUST00000016452
ENSMUST00000032477	ENSMUST00000094434
ENSMUST00000030453	ENSMUST00000202622
ENSMUST00000084116	ENSMUST00000094452
ENSMUST00000021918	ENSMUST00000022793
ENSMUST00000168264	ENSMUST00000058136
ENSMUST00000082396	ENSMUST00000174064
ENSMUST00000090938	ENSMUST00000022368
ENSMUST00000017365	ENSMUST00000113043
ENSMUST00000030269	ENSMUST00000052119
ENSMUST00000025264	ENSMUST00000035099
ENSMUST00000193414	ENSMUST00000021278
ENSMUST00000043767	ENSMUST00000047749
ENSMUST00000095383	ENSMUST00000058735
ENSMUST00000056149	ENSMUST00000183952
ENSMUST00000113572	ENSMUST00000210812
ENSMUST00000071841	ENSMUST00000007865
ENSMUST00000048263	ENSMUST00000002403
ENSMUST00000027438	ENSMUST00000050556
ENSMUST00000169681	ENSMUST00000033419
ENSMUST00000019118	ENSMUST00000073316
ENSMUST00000112456	ENSMUST00000024270
ENSMUST00000022906	ENSMUST00000031426
ENSMUST00000099705	ENSMUST00000169114
ENSMUST00000079251	ENSMUST00000092170
ENSMUST00000047086	ENSMUST00000021761
ENSMUST00000139528	ENSMUST00000146074
ENSMUST00000034866	ENSMUST00000021405
ENSMUST00000007253	ENSMUST00000029950
ENSMUST00000018311	ENSMUST00000029574
ENSMUST00000115789	ENSMUST00000071718
ENSMUST00000024766	ENSMUST00000025418
ENSMUST00000103202	ENSMUST00000074525
ENSMUST00000071858	ENSMUST00000165952
ENSMUST00000055931	ENSMUST00000042125
ENSMUST00000006611	ENSMUST00000039601
ENSMUST00000071944	ENSMUST00000109937
ENSMUST00000112618	ENSMUST00000102617
ENSMUST00000029355	ENSMUST00000100304
ENSMUST00000103186	ENSMUST00000048128
ENSMUST00000106384	ENSMUST00000031859
ENSMUST00000162415	ENSMUST00000003536
ENSMUST00000196282	ENSMUST00000117506
ENSMUST00000174462	ENSMUST00000107389
ENSMUST00000000356	ENSMUST00000021078
ENSMUST00000159879	ENSMUST00000006587
ENSMUST00000067582	ENSMUST00000020980
ENSMUST00000109462	ENSMUST00000049357
ENSMUST00000042942	ENSMUST00000190686
ENSMUST00000093993	ENSMUST00000027444
ENSMUST00000029771	ENSMUST00000026302
ENSMUST00000106343	ENSMUST00000047973
ENSMUST00000102821	ENSMUST00000048615
ENSMUST00000034079	ENSMUST00000035065
ENSMUST00000092618	ENSMUST00000047632
ENSMUST00000102646	ENSMUST00000026072
ENSMUST00000058754	ENSMUST00000032477
ENSMUST00000166897	ENSMUST00000030453
ENSMUST00000110262	ENSMUST00000084116
ENSMUST00000068045	ENSMUST00000038075
ENSMUST00000045909	ENSMUST00000021918
ENSMUST00000171171	ENSMUST00000037678
ENSMUST00000029575	ENSMUST00000065211
ENSMUST00000114763	ENSMUST00000168264
ENSMUST00000059588	ENSMUST00000082396
ENSMUST00000001920	ENSMUST00000025137
ENSMUST00000111122	ENSMUST00000039490
ENSMUST00000091756	ENSMUST00000090938
ENSMUST00000031621	ENSMUST00000017365
ENSMUST00000106478	ENSMUST00000105870
ENSMUST00000111338	ENSMUST00000030269
ENSMUST00000029165	ENSMUST00000025264
ENSMUST00000111817	ENSMUST00000092706
ENSMUST00000030361	ENSMUST00000017841
ENSMUST00000156038	ENSMUST00000111711
ENSMUST00000005606	ENSMUST00000193414
ENSMUST00000112095	ENSMUST00000043767
ENSMUST00000031538	ENSMUST00000040561
ENSMUST00000013766	ENSMUST00000014562
ENSMUST00000207470	ENSMUST00000032719
ENSMUST00000002855	ENSMUST00000081775
ENSMUST00000029445	ENSMUST00000105230
ENSMUST00000029386	ENSMUST00000058577
ENSMUST00000072119	ENSMUST00000095383
ENSMUST00000103013	ENSMUST00000056149
ENSMUST00000137543	ENSMUST00000113572
ENSMUST00000115073	ENSMUST00000071841
ENSMUST00000068952	ENSMUST00000048263
ENSMUST00000110048	ENSMUST00000027438
ENSMUST00000022842	ENSMUST00000018743
ENSMUST00000163854	ENSMUST00000169681
ENSMUST00000102573	ENSMUST00000019118
ENSMUST00000136740	ENSMUST00000101049
ENSMUST00000029740	ENSMUST00000112456
ENSMUST00000041733	ENSMUST00000112810
ENSMUST00000032427	ENSMUST00000022906
ENSMUST00000000266	ENSMUST00000132298
ENSMUST00000087215	ENSMUST00000079251
ENSMUST00000105413	ENSMUST00000164782
ENSMUST00000102724	ENSMUST00000041659
ENSMUST00000179869	ENSMUST00000011029
ENSMUST00000171691	ENSMUST00000111881
ENSMUST00000031841	ENSMUST00000047086
ENSMUST00000047860	ENSMUST00000026296
ENSMUST00000042012	ENSMUST00000139528
ENSMUST00000058889	ENSMUST00000034866
ENSMUST00000020608	ENSMUST00000019876
ENSMUST00000018625	ENSMUST00000030408
ENSMUST00000005714	ENSMUST00000110113
ENSMUST00000107528	ENSMUST00000007253
ENSMUST00000025364	ENSMUST00000115789
ENSMUST00000121212	ENSMUST00000024766
ENSMUST00000023507	ENSMUST00000103202
ENSMUST00000166592	ENSMUST00000071858
ENSMUST00000023431	ENSMUST00000006611
ENSMUST00000165307	ENSMUST00000019226
ENSMUST00000021296	ENSMUST00000112618
ENSMUST00000100857	ENSMUST00000029355
ENSMUST00000208616	ENSMUST00000103186
ENSMUST00000034030	ENSMUST00000106384
ENSMUST00000027071	ENSMUST00000162415
ENSMUST00000002044	ENSMUST00000196282
ENSMUST00000079949	ENSMUST00000034949
ENSMUST00000115632	ENSMUST00000174462
ENSMUST00000170957	ENSMUST00000000356
ENSMUST00000026461	ENSMUST00000159879
ENSMUST00000156203	ENSMUST00000067582
ENSMUST00000163242	ENSMUST00000109462
ENSMUST00000056508	ENSMUST00000094894
ENSMUST00000063091	ENSMUST00000042942
